ingredient,total,recipes
onion,175823,18205
garlic,167331,17465
egg,160571,21114
wheat,154296,20896
butter,152304,20814
vegetable_oil,99651,11189
tomato,98749,9978
milk,94464,12925
black_pepper,94324,9893
olive_oil,89393,9923
pepper,87100,9282
cayenne,80392,8303
cream,79633,10194
vinegar,79359,8097
cane_molasses,66300,7770
bell_pepper,61452,6006
vanilla,59939,9040
parsley,56471,5579
chicken,49823,5483
beef,47060,4946
scallion,46684,4798
cinnamon,44283,5639
corn,44163,4836
lemon_juice,43048,5099
ginger,42906,4396
mustard,40877,4125
bread,40739,4596
basil,38868,3845
carrot,38650,3717
celery,38477,3634
cumin,37208,3321
chicken_broth,36820,3620
soy_sauce,36165,3828
rice,35328,3888
oregano,34442,3182
thyme,33075,3046
mushroom,32174,3379
cocoa,29749,4807
potato,29317,3561
macaroni,28966,3117
parmesan_cheese,28848,3174
cheese,28737,3286
green_bell_pepper,27119,2590
yeast,26869,3402
cheddar_cheese,25670,3029
cilantro,25510,2493
starch,23764,2740
lemon,22938,3066
lard,22596,3062
white_wine,21717,2212
nutmeg,21322,2522
honey,20848,2558
fish,20583,2113
cream_cheese,20374,2843
coriander,20257,1679
walnut,20107,2746
tamarind,20080,1682
rosemary,19626,1893
pork,19243,2072
cucumber,19068,1908
bean,18693,2003
apple,18508,2433
bacon,18036,2172
shrimp,17693,1690
olive,17475,1799
bay,17414,1486
almond,17148,2329
sesame_oil,16413,1697
vegetable,16380,1705
turmeric,16222,1329
raisin,16017,1905
pecan,15912,2178
coconut,14782,1822
lime_juice,14606,1622
red_wine,13965,1399
chive,13605,1337
pork_sausage,13516,1371
orange,12974,1728
buttermilk,12825,1637
orange_juice,12751,1728
shallot,12682,1310
lettuce,12630,1211
mozzarella_cheese,12356,1291
celery_oil,12299,1008
fenugreek,12216,940
seed,11785,1346
pineapple,11613,1638
pea,11554,1190
ham,11304,1302
soybean,11259,1197
nut,10844,1259
zucchini,10573,1107
cider,10500,1136
tabasco_pepper,10430,977
wine,9688,1026
meat,9678,991
cabbage,9677,1035
fennel,9617,913
dill,9532,1111
beef_broth,9455,850
lime,9435,1165
sage,9433,904
oat,9374,1267
mint,9095,1030
turkey,8977,901
gelatin,8716,1418
yogurt,8459,1057
broccoli,8323,931
milk_fat,8174,962
cherry,7415,1085
pumpkin,6959,806
sherry,6792,707
grape_juice,6750,825
sesame_seed,6748,781
sake,6681,681
peanut_butter,6610,1029
strawberry,6544,1081
banana,6502,992
shiitake,6328,595
lemon_peel,6139,729
cranberry,6110,920
avocado,6105,662
marjoram,6088,528
crab,5973,574
whole_grain_wheat_flour,5847,734
feta_cheese,5381,623
squash,5335,573
black_bean,5202,495
roasted_sesame_seed,5199,597
radish,5185,528
raspberry,5085,786
orange_peel,5025,596
lamb,4829,488
clam,4725,476
coffee,4710,720
smoke,4709,463
kidney_bean,4659,442
apricot,4651,626
swiss_cheese,4488,523
leek,4322,426
sweet_potato,4316,531
tarragon,4296,478
oyster,4222,410
peanut,4220,512
chickpea,4143,406
tuna,4063,463
pear,3894,484
rum,3870,603
asparagus,3784,461
salmon,3637,452
maple_syrup,3620,478
mango,3542,420
artichoke,3484,391
horseradish,3470,396
cured_pork,3415,315
peach,3368,531
cardamom,3312,375
blueberry,3247,467
brandy,3241,399
brown_rice,3222,347
cauliflower,3195,333
blue_cheese,3158,396
fruit,3114,481
peanut_oil,3076,312
white_bread,3058,372
scallop,3057,300
date,2820,378
cottage_cheese,2808,348
pimento,2746,270
grape,2727,346
lemongrass,2724,221
egg_noodle,2682,319
saffron,2645,236
beer,2576,308
lentil,2570,251
plum,2494,290
barley,2487,267
smoked_sausage,2449,268
squid,2426,238
romano_cheese,2420,275
caraway,2263,233
currant,2216,242
veal,2211,199
goat_cheese,2089,260
lovage,2073,142
hazelnut,2073,288
mandarin,2059,279
roasted_beef,2043,228
