source,target,attr_dict
almond,apple,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 2433.0, 'comb_recipe_count': 4762.0, 'IF': 3.0170333392987803, 'IRF': 1.4120133136637825, 'IF-IRF': 4.260091242857378, 'loge_IF': 5.6443908991413725, 'loge_IRF': 3.251280807151351, 'loge_IF-IRF': 18.351499798438102}"
almond,apricot,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 626.0, 'comb_recipe_count': 2955.0, 'IF': 3.0170333392987803, 'IRF': 1.6192452195153693, 'IF-IRF': 4.885316811778041, 'loge_IF': 5.6443908991413725, 'loge_IRF': 3.7284499043579604, 'loge_IF-IRF': 21.044828708062592}"
almond,bacon,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 2172.0, 'comb_recipe_count': 4501.0, 'IF': 2.623249290397901, 'IRF': 1.4364936917941646, 'IF-IRF': 3.7682810576601034, 'loge_IF': 4.737669618283368, 'loge_IRF': 3.3076489609052264, 'loge_IF-IRF': 15.670547990027243}"
almond,banana,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 992.0, 'comb_recipe_count': 3321.0, 'IF': 2.5185139398778875, 'IRF': 1.5685338291342583, 'IF-IRF': 3.9503743138446703, 'loge_IF': 4.49650756146648, 'loge_IRF': 3.611682612821413, 'loge_IF-IRF': 16.239958178168497}"
almond,berry,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 183.0, 'comb_recipe_count': 2512.0, 'IF': 2.3222192947339195, 'IRF': 1.689783069667485, 'IF-IRF': 3.9240468482965443, 'loge_IF': 4.044522437723423, 'loge_IRF': 3.8908693066100697, 'loge_IF-IRF': 15.736708212833802}"
almond,blueberry,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 467.0, 'comb_recipe_count': 2796.0, 'IF': 2.5051499783199063, 'IRF': 1.6432655376589997, 'IF-IRF': 4.116626626040293, 'loge_IF': 4.465735902799727, 'loge_IRF': 3.7837587308444585, 'loge_IF-IRF': 16.897267211864026}"
almond,brandy,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 399.0, 'comb_recipe_count': 2728.0, 'IF': 2.724275869600789, 'IRF': 1.6539583387482022, 'IF-IRF': 4.5058387915767355, 'loge_IF': 4.970291913552122, 'loge_IRF': 3.8083798152348063, 'loge_IF-IRF': 18.928759399396682}"
almond,bread,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 4596.0, 'comb_recipe_count': 6925.0, 'IF': 3.0453229787866576, 'IRF': 1.2493829269961574, 'IF-IRF': 3.804774536885131, 'loge_IF': 5.709530201312334, 'loge_IRF': 2.87681050314262, 'loge_IF-IRF': 16.42523645114532}"
almond,broccoli,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 931.0, 'comb_recipe_count': 3260.0, 'IF': 2.57978359661681, 'IRF': 1.5765851046647044, 'IF-IRF': 4.067248391684401, 'loge_IF': 4.637586159726386, 'loge_IRF': 3.630221359837406, 'loge_IF-IRF': 16.835464335125053}"
almond,brown_rice,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 347.0, 'comb_recipe_count': 2676.0, 'IF': 2.414973347970818, 'IRF': 1.662316595636858, 'IF-IRF': 4.014450274352596, 'loge_IF': 4.258096538021482, 'loge_IRF': 3.82762541295004, 'loge_IF-IRF': 16.29839851972561}"
almond,buttermilk,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 1637.0, 'comb_recipe_count': 3966.0, 'IF': 2.6127838567197355, 'IRF': 1.4914499948633597, 'IF-IRF': 3.8968364696837186, 'loge_IF': 4.713572066704308, 'loge_IRF': 3.4341905251184177, 'loge_IF-IRF': 16.18730453093877}"
almond,cabbage,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 1035.0, 'comb_recipe_count': 3364.0, 'IF': 2.568201724066995, 'IRF': 1.5629467176067688, 'IF-IRF': 4.013962454782554, 'loge_IF': 4.610917912644224, 'loge_IRF': 3.5988178131053203, 'loge_IF-IRF': 16.593853518790436}"
almond,cardamom,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 375.0, 'comb_recipe_count': 2704.0, 'IF': 2.7160033436347994, 'IRF': 1.657796017463045, 'IF-IRF': 4.502579526494085, 'loge_IF': 4.951243718581427, 'loge_IRF': 3.8172163970353044, 'loge_IF-IRF': 18.899968708287076}"
almond,celery,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 3634.0, 'comb_recipe_count': 5963.0, 'IF': 3.0253058652647704, 'IRF': 1.3143378953869043, 'IF-IRF': 3.9762741438537557, 'loge_IF': 5.663439094112067, 'loge_IRF': 3.026374845075053, 'loge_IF-IRF': 17.139689611035404}"
almond,cherry,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 1085.0, 'comb_recipe_count': 3414.0, 'IF': 3.255272505103306, 'IRF': 1.5565391879539288, 'IF-IRF': 5.066959221662251, 'loge_IF': 6.19295685089021, 'loge_IRF': 3.584063930843773, 'loge_IF-IRF': 22.195953274547442}"
almond,chicken,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 5483.0, 'comb_recipe_count': 7812.0, 'IF': 3.305351369446624, 'IRF': 1.1970404701168267, 'IF-IRF': 3.9566393571836835, 'loge_IF': 6.308267697401205, 'loge_IRF': 2.7562875422015893, 'loge_IF-IRF': 17.387399667219647}"
almond,chicken_broth,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 3620.0, 'comb_recipe_count': 5949.0, 'IF': 2.9777236052888476, 'IRF': 1.3153587358076784, 'IF-IRF': 3.916774757037421, 'loge_IF': 5.553876891600541, 'loge_IRF': 3.0287254170102536, 'loge_IF-IRF': 16.821168104536458}"
almond,chive,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 1337.0, 'comb_recipe_count': 3666.0, 'IF': 2.863322860120456, 'IRF': 1.5256102441064456, 'IF-IRF': 4.3683146875839345, 'loge_IF': 5.290459441148391, 'loge_IRF': 3.512847405798509, 'loge_IF-IRF': 18.584576723320353}"
almond,cider,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 1136.0, 'comb_recipe_count': 3465.0, 'IF': 2.57978359661681, 'IRF': 1.550099465784818, 'IF-IRF': 3.9989211749561537, 'loge_IF': 4.637586159726386, 'loge_IRF': 3.5692359225741557, 'loge_IF-IRF': 16.55263911532814}"
almond,cinnamon,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 5639.0, 'comb_recipe_count': 7968.0, 'IF': 3.5998830720736876, 'IRF': 1.1884533793170011, 'IF-IRF': 4.2782932021520415, 'loge_IF': 6.986452005284438, 'loge_IRF': 2.736515034933725, 'loge_IF-IRF': 19.118530953303736}"
almond,citrus,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 171.0, 'comb_recipe_count': 2500.0, 'IF': 2.4471580313422194, 'IRF': 1.6918626960606058, 'IF-IRF': 4.1402553845930115, 'loge_IF': 4.332204510175204, 'loge_IRF': 3.895657823341867, 'loge_IF-IRF': 16.876786392380957}"
almond,cocoa,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 4807.0, 'comb_recipe_count': 7136.0, 'IF': 3.595496221825574, 'IRF': 1.2363478633645768, 'IF-IRF': 4.445284071589457, 'loge_IF': 6.976350909297934, 'loge_IRF': 2.8467961599383136, 'loge_IF-IRF': 19.86024897897152}"
almond,coconut,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 1822.0, 'comb_recipe_count': 4151.0, 'IF': 3.2695129442179165, 'IRF': 1.471649971354124, 'IF-IRF': 4.811578630700234, 'loge_IF': 6.225746673713202, 'loge_IRF': 3.38859928614512, 'loge_IF-IRF': 21.096560734264912}"
almond,coffee,"{'ingred1_recipe_count': 2329.0, 'ingred2_recipe_count': 720.0, 'comb_recipe_count': 3049.0, 'IF': 2.7323937598229686, 'IRF': 1.6056452803672627, 'IF-IRF': 4.387255144564709, 'loge_IF': 4.9889840465642745, 'loge_IRF': 3.6971348872099044, 'loge_IF-IRF': 18.44494697028642}"
